id_1,ra_1,dec_1,separation_arcmin_1,total_flux_mjy_1,spectral_index_1,spectral_curvature_1,bmaj_1,bmin_1,pa_1,redshift_1,radioclass_1,id_2,ra_2,dec_2,separation_arcmin_2,total_flux_mjy_2,spectral_index_2,spectral_curvature_2,bmaj_2,bmin_2,pa_2,redshift_2,radioclass_2,match_sep_arcsec
32919,242.67141723632812,54.32341384887695,43.6359944019451,17.526574258909193,-3.778470163163784,-4.39182492776328,-100.0,-100.0,-100.0,1.7619704008102417,6,32919,242.67141723632812,54.32341384887695,43.6359944019451,24.623219772022416,-2.3737545470606145,-2.191246469773791,-100.0,-100.0,-100.0,1.7619704008102417,6,0.0
30702,241.51303100585935,55.355247497558594,40.91374101072274,17.330337846563268,-3.6276542334536694,-3.5320439618021657,-100.0,-100.0,-100.0,1.53437602519989,6,30702,241.51303100585935,55.355247497558594,40.91374101072274,19.28729516905496,-2.4723712741760897,-1.8412109895407045,-100.0,-100.0,-100.0,1.53437602519989,6,0.0
34636,241.9446258544922,55.41895294189453,31.08884301208332,17.29880020526278,-1.919410364656286,-1.6166540146543875,-100.0,-100.0,-100.0,1.9183622598648071,4,34636,241.9446258544922,55.41895294189453,31.08884301208332,18.09252941044494,-1.361418419596744,-0.9368237384285996,-100.0,-100.0,-100.0,1.9183622598648071,4,0.0
17786,241.6419982910156,54.777976989746094,36.21490280343278,16.249660013727418,-2.6547390492365923,-2.439727293424702,-100.0,-100.0,-100.0,0.631221354007721,6,17786,241.6419982910156,54.777976989746094,36.21490280343278,17.87334076479909,-1.8324076793456472,-1.3490183964777458,-100.0,-100.0,-100.0,0.631221354007721,6,0.0
32885,243.12892150878903,55.46460723876953,31.21247957053843,15.589831437800878,-2.0917912168906247,-1.6332513283682346,-100.0,-100.0,-100.0,1.7637819051742554,6,32885,243.12892150878903,55.46460723876953,31.21247957053843,15.277949166283744,-1.528362931527386,-0.9454942973315004,-100.0,-100.0,-100.0,1.7637819051742554,6,0.0
30872,242.50787353515625,55.3974494934082,21.067258900114833,14.964901029179517,-1.3841180857223865,-0.6451225767932379,-100.0,-100.0,-100.0,1.6665430068969729,6,30872,242.50787353515625,55.3974494934082,21.067258900114833,12.061423057785028,-1.1549112497219898,-0.395952582240734,-100.0,-100.0,-100.0,1.6665430068969729,6,0.0
16590,242.8090057373047,55.34782409667969,19.57563347154594,13.60854209651928,-0.9563201444671442,-0.5487823455376694,-100.0,-100.0,-100.0,0.60126131772995,6,16590,242.8090057373047,55.34782409667969,19.57563347154594,12.466352102952598,-0.7607819622226261,-0.3387795889881299,-100.0,-100.0,-100.0,0.60126131772995,6,0.0
21247,241.9351501464844,55.21109771728515,24.183228851457052,13.602520990467012,-1.025299671993971,-0.8810468720331319,-100.0,-100.0,-100.0,0.8235347270965576,6,21247,241.9351501464844,55.21109771728515,24.183228851457052,14.4546702072808,-0.7145091965095819,-0.533109326273462,-100.0,-100.0,-100.0,0.8235347270965576,6,0.0
22085,242.1072998046875,55.03593444824219,16.284059692253773,12.92447440189636,-1.044785605493194,-0.3692080760704591,-100.0,-100.0,-100.0,0.8667441010475159,6,22085,242.1072998046875,55.03593444824219,16.284059692253773,10.318904085124798,-0.9125343064410282,-0.2303867106654923,-100.0,-100.0,-100.0,0.8667441010475159,6,0.0
32730,242.66189575195312,55.40290451049805,21.42970398142847,12.368054002963488,-1.354292848191855,-0.6701466917661438,-100.0,-100.0,-100.0,1.705154538154602,4,32730,242.66189575195312,55.40290451049805,21.42970398142847,10.231428757217827,-1.1164016022677528,-0.4106748435034774,-100.0,-100.0,-100.0,1.705154538154602,4,0.0
